Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1,Chrome 108.0.0.0,,,2023-01-04 14:05:15,2023-01-04 14:05:36,20.554s,PASSED
,,,,,,,
Test Cases/SmokeTest/Test1_RecordMode,Chrome 108.0.0.0,just description,smoke,2023-01-04 14:05:15,2023-01-04 14:05:29,13.384s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2023-01-04 14:05:16,2023-01-04 14:05:19,2.873s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 108.0.0.0,,,2023-01-04 14:05:19,2023-01-04 14:05:19,0.715s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 108.0.0.0,,,2023-01-04 14:05:19,2023-01-04 14:05:20,0.643s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 108.0.0.0,,,2023-01-04 14:05:20,2023-01-04 14:05:21,0.907s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""9NLz+4tGZcQ="")",Chrome 108.0.0.0,,,2023-01-04 14:05:21,2023-01-04 14:05:22,0.707s,PASSED
"doubleClick(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Demo account_form-control""))",Chrome 108.0.0.0,,,2023-01-04 14:05:22,2023-01-04 14:05:22,0.661s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 108.0.0.0,,,2023-01-04 14:05:22,2023-01-04 14:05:23,0.547s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 108.0.0.0,,,2023-01-04 14:05:23,2023-01-04 14:05:23,0.739s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 108.0.0.0,,,2023-01-04 14:05:23,2023-01-04 14:05:24,0.374s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 108.0.0.0,,,2023-01-04 14:05:24,2023-01-04 14:05:24,0.500s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_24""))",Chrome 108.0.0.0,,,2023-01-04 14:05:24,2023-01-04 14:05:25,0.560s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/body_CURA Healthcare                       _9d7cae""))",Chrome 108.0.0.0,,,2023-01-04 14:05:25,2023-01-04 14:05:25,0.507s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/form_Facility                              _20adf0""))",Chrome 108.0.0.0,,,2023-01-04 14:05:25,2023-01-04 14:05:26,0.515s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""Demo comment test"")",Chrome 108.0.0.0,,,2023-01-04 14:05:26,2023-01-04 14:05:27,0.897s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 108.0.0.0,,,2023-01-04 14:05:27,2023-01-04 14:05:27,0.477s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Appointment Confirmation""), ""Appointment Confirmation"")",Chrome 108.0.0.0,,,2023-01-04 14:05:27,2023-01-04 14:05:28,0.361s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Please be informed that your appointment _11813a""), ""Please be informed that your appointment has been booked as following:"")",Chrome 108.0.0.0,,,2023-01-04 14:05:28,2023-01-04 14:05:28,0.439s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2023-01-04 14:05:28,2023-01-04 14:05:29,0.645s,PASSED
,,,,,,,
Test Cases/SmokeTest/Test3_ScriptMode,Chrome 108.0.0.0,,,2023-01-04 14:05:29,2023-01-04 14:05:36,6.924s,PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com"")",Chrome 108.0.0.0,,,2023-01-04 14:05:29,2023-01-04 14:05:33,3.615s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 108.0.0.0,,,2023-01-04 14:05:33,2023-01-04 14:05:34,1.202s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""admin123"")",Chrome 108.0.0.0,,,2023-01-04 14:05:34,2023-01-04 14:05:35,0.896s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Login""))",Chrome 108.0.0.0,,,2023-01-04 14:05:35,2023-01-04 14:05:35,0.361s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2023-01-04 14:05:35,2023-01-04 14:05:36,0.615s,PASSED
