Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS2,Edge Chromium 108,,,2023-01-04 14:03:19,2023-01-04 14:03:50,30.993s,PASSED
,,,,,,,
Test Cases/SmokeTest/Test1_RecordMode,Edge Chromium 108,just description,smoke,2023-01-04 14:03:20,2023-01-04 14:03:33,12.785s,PASSED
"openBrowser("""")",Edge Chromium 108,,,2023-01-04 14:03:20,2023-01-04 14:03:23,2.525s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Edge Chromium 108,,,2023-01-04 14:03:23,2023-01-04 14:03:23,0.612s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Edge Chromium 108,,,2023-01-04 14:03:23,2023-01-04 14:03:24,0.705s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Edge Chromium 108,,,2023-01-04 14:03:24,2023-01-04 14:03:25,0.841s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""9NLz+4tGZcQ="")",Edge Chromium 108,,,2023-01-04 14:03:25,2023-01-04 14:03:25,0.475s,PASSED
"doubleClick(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Demo account_form-control""))",Edge Chromium 108,,,2023-01-04 14:03:25,2023-01-04 14:03:26,0.596s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Edge Chromium 108,,,2023-01-04 14:03:26,2023-01-04 14:03:27,0.461s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Edge Chromium 108,,,2023-01-04 14:03:27,2023-01-04 14:03:27,0.493s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Edge Chromium 108,,,2023-01-04 14:03:27,2023-01-04 14:03:28,0.586s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Edge Chromium 108,,,2023-01-04 14:03:28,2023-01-04 14:03:28,0.367s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_24""))",Edge Chromium 108,,,2023-01-04 14:03:28,2023-01-04 14:03:28,0.476s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/body_CURA Healthcare                       _9d7cae""))",Edge Chromium 108,,,2023-01-04 14:03:28,2023-01-04 14:03:29,0.488s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/form_Facility                              _20adf0""))",Edge Chromium 108,,,2023-01-04 14:03:29,2023-01-04 14:03:30,0.577s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""Demo comment test"")",Edge Chromium 108,,,2023-01-04 14:03:30,2023-01-04 14:03:30,0.875s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Edge Chromium 108,,,2023-01-04 14:03:30,2023-01-04 14:03:31,0.492s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Appointment Confirmation""), ""Appointment Confirmation"")",Edge Chromium 108,,,2023-01-04 14:03:31,2023-01-04 14:03:32,0.636s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Please be informed that your appointment _11813a""), ""Please be informed that your appointment has been booked as following:"")",Edge Chromium 108,,,2023-01-04 14:03:32,2023-01-04 14:03:32,0.355s,PASSED
closeBrowser(),Edge Chromium 108,,,2023-01-04 14:03:32,2023-01-04 14:03:33,0.778s,PASSED
,,,,,,,
Test Cases/SmokeTest/Test2_ManualMode,Edge Chromium 108,,,2023-01-04 14:03:33,2023-01-04 14:03:44,10.914s,PASSED
"openBrowser("""")",Edge Chromium 108,,,2023-01-04 14:03:33,2023-01-04 14:03:34,1.250s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com"")",Edge Chromium 108,,,2023-01-04 14:03:34,2023-01-04 14:03:36,2.135s,PASSED
"setText(findTestObject(""Page_OrangeHRM/input_Username_username""), ""Admin"")",Edge Chromium 108,,,2023-01-04 14:03:36,2023-01-04 14:03:37,1.186s,PASSED
"setEncryptedText(findTestObject(""Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Edge Chromium 108,,,2023-01-04 14:03:37,2023-01-04 14:03:38,0.420s,PASSED
"click(findTestObject(""Page_OrangeHRM/button_Login""))",Edge Chromium 108,,,2023-01-04 14:03:38,2023-01-04 14:03:38,0.457s,PASSED
delay(2),Edge Chromium 108,,,2023-01-04 14:03:38,2023-01-04 14:03:40,2.040s,PASSED
"verifyElementPresent(findTestObject(""Page_OrangeHRM/input_Admin_oxd-input oxd-input--focus""), 30)",Edge Chromium 108,,,2023-01-04 14:03:40,2023-01-04 14:03:41,0.477s,PASSED
delay(2),Edge Chromium 108,,,2023-01-04 14:03:41,2023-01-04 14:03:43,2.006s,PASSED
closeBrowser(),Edge Chromium 108,,,2023-01-04 14:03:43,2023-01-04 14:03:44,0.727s,PASSED
,,,,,,,
Test Cases/SmokeTest/Test3_ScriptMode,Edge Chromium 108,,,2023-01-04 14:03:44,2023-01-04 14:03:50,6.702s,PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com"")",Edge Chromium 108,,,2023-01-04 14:03:44,2023-01-04 14:03:47,3.306s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Edge Chromium 108,,,2023-01-04 14:03:47,2023-01-04 14:03:48,1.181s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""admin123"")",Edge Chromium 108,,,2023-01-04 14:03:48,2023-01-04 14:03:49,0.918s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Login""))",Edge Chromium 108,,,2023-01-04 14:03:49,2023-01-04 14:03:50,0.362s,PASSED
closeBrowser(),Edge Chromium 108,,,2023-01-04 14:03:50,2023-01-04 14:03:50,0.728s,PASSED
