Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS2,Edge Chromium 108,,,2023-01-04 14:05:18,2023-01-04 14:05:49,30.483s,PASSED
,,,,,,,
Test Cases/SmokeTest/Test1_RecordMode,Edge Chromium 108,just description,smoke,2023-01-04 14:05:19,2023-01-04 14:05:31,12.573s,PASSED
"openBrowser("""")",Edge Chromium 108,,,2023-01-04 14:05:19,2023-01-04 14:05:22,2.483s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Edge Chromium 108,,,2023-01-04 14:05:22,2023-01-04 14:05:22,0.632s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Edge Chromium 108,,,2023-01-04 14:05:22,2023-01-04 14:05:23,0.788s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Edge Chromium 108,,,2023-01-04 14:05:23,2023-01-04 14:05:24,0.960s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""9NLz+4tGZcQ="")",Edge Chromium 108,,,2023-01-04 14:05:24,2023-01-04 14:05:25,0.452s,PASSED
"doubleClick(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Demo account_form-control""))",Edge Chromium 108,,,2023-01-04 14:05:25,2023-01-04 14:05:25,0.542s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Edge Chromium 108,,,2023-01-04 14:05:25,2023-01-04 14:05:26,0.449s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Edge Chromium 108,,,2023-01-04 14:05:26,2023-01-04 14:05:26,0.617s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Edge Chromium 108,,,2023-01-04 14:05:26,2023-01-04 14:05:27,0.370s,PASSED
